tree,ring,position,co2grow,co2meas,N Rows,Mean(Photo),Mean(gs),Mean(Ci),Mean(Tleaf),Mean(LMA),Mean(N-perc),Mean(leafw),Mean(epi_up),Mean(epi_low),Mean(stomdenad),Mean(stomdenab),Mean(meso.mean),Mean(sum.mean),Mean(leafw.mean.y),Mean(epiupper.mean),Mean(epilower.mean),Mean(mesolay.mean),Mean(meso.mean.y),Mean(length.par1.mean),Mean(sumlength.par.mean),Mean(meanlength.par.mean),Mean(nrows),Mean(gmes),Mean(mean_gm.Eglob),Mean(mean_gs),Mean(mean_ci),Mean(mean_cc),Mean(drawdown),Mean(Vcmax),Mean(Jmax),Mean(Rd),Mean(Vcmax_SE),Mean(Jmax_SE),Mean(Rd_SE),Mean(Vcmax25),Mean(Jmax25),Mean(Rd25),Mean(Vcmax25-SE),Mean(Jmax25-SE),Mean(Rd25-SE)
202,R2,upper,amb,amb,1,20.547,0.301,265.85778522857,25.236,157.8058991,1.95,281.3333333,21.05988889,19.362,289.0625,225,256.25,291.7333333,281.01175,18.96916667,19.9015,7,256.27875,38.15916667,94.34769583,31.44923194,7,0.143,0.122,0.300714286,266,122,144,,,,,,,,,,,,
202,R2,upper,amb,elev,1,25.501,0.319,390.93732898571,25.313,157.8058991,1.95,281.3333333,21.05988889,19.362,289.0625,225,256.25,291.7333333,281.01175,18.96916667,19.9015,7,256.27875,38.15916667,94.34769583,31.44923194,7,0.163,0.139,0.319,391,234,157,,,,,,,,,,,,
208,R2,lower,amb,amb,1,12.263,0.115,209.10153291667,25.377,163.5888151,1.79,264.9666667,22.50911111,17.96444444,276.3888889,168.0555556,227.6666667,268.1333333,264.9712222,22.50911111,17.96444444,7.888888889,227.6653333,34.92722222,90.12686666,30.04228889,6,0.147,0.101,0.114333333,209,126,83,102.2010,149.7212,2.0541,6.6712,4.4685,0.7164,84.9170,137.1279,2.0311,4.5751,3.3701,0.5912
208,R2,lower,amb,elev,1,19.914,0.143,299.91653985,26.012,163.5888151,1.79,264.9666667,22.50911111,17.96444444,276.3888889,168.0555556,227.6666667,268.1333333,264.9712222,22.50911111,17.96444444,7.888888889,227.6653333,34.92722222,90.12686666,30.04228889,4,0.12,0.099,0.143,300,134,166,,,,,,,,,,,,
208,R2,upper,amb,amb,1,12.337,0.115,208.50695466667,25.132,205.3565934,1.75,319.9333333,19.89844444,13.77833333,215.625,135.9375,285.8,319.4666667,319.9456667,19.89844444,13.77833333,8,285.7998889,35.33971429,94.28157143,31.42719048,6,0.144,0.103,0.115166667,209,123,86,87.9117,139.1369,2.6167,3.9158,2.8030,0.4659,86.6778,138.8683,2.5716,3.3035,2.3789,0.3972
208,R2,upper,amb,elev,1,18.528,0.138,307.74229053333,25.116,205.3565934,1.75,319.9333333,19.89844444,13.77833333,215.625,135.9375,285.8,319.4666667,319.9456667,19.89844444,13.77833333,8,285.7998889,35.33971429,94.28157143,31.42719048,6,0.16,0.125,0.137833333,308,192,116,,,,,,,,,,,,
209,R2,upper,amb,amb,1,14.006,0.176,257.5242963,27.386,172.7774987,1.89,295.1,25.25577778,18.31833333,168.75,140.625,257.0666667,300.6666667,295.1224444,25.25577778,18.31833333,7,257.0828889,37.86383333,93.82646666,31.27548889,6,0.151,0.108,0.176166667,258,165,93,86.9894,126.8250,0.1743,9.0729,6.9869,1.1068,59.6501,105.6282,0.1006,6.1857,5.8350,1.1029
209,R2,upper,amb,elev,1,18.546,0.178,361.11391962857,28.529,172.7774987,1.89,295.1,25.25577778,18.31833333,168.75,140.625,257.0666667,300.6666667,295.1224444,25.25577778,18.31833333,7,257.0828889,37.86383333,93.82646666,31.27548889,7,0.28,0.173,0.177571429,361,295,66,,,,,,,,,,,,
301,R3,lower,amb,amb,1,13.221,0.138,237.41601078,24.915,158.6164129,1.47,303.5,21.33955556,20.92277778,147.2222222,136.1111111,256.5666667,298.8666667,303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.28288271,5,0.403,0.19,0.1384,237,205,33,77.0502,109.4434,2.5512,7.3670,4.6891,0.8154,75.0768,105.4301,2.6444,6.4411,4.0059,0.7288
301,R3,lower,amb,elev,1,14.674,0.087,257.35777235,25.207,158.6164129,1.47,303.5,21.33955556,20.92277778,147.2222222,136.1111111,256.5666667,298.8666667,303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.28288271,6,0.323,0.198,0.086666667,257,212,45,,,,,,,,,,,,
301,R3,upper,amb,amb,1,16.889,0.189,240.43252841667,25.325,153.1148921,1.67,277.525,20.55137778,16.71266667,188.8888889,156.9444444,236.6,273.7,273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,77.99391112,25.99797037,6,0.187,0.145,0.188333333,240,150,90,86.4918,111.3200,0.8250,18.2291,9.5530,1.6382,87.3814,111.7058,0.9008,17.5047,9.1567,1.5681
301,R3,upper,amb,elev,1,21.047,0.166,320.79655826667,24.858,153.1148921,1.67,277.525,20.55137778,16.71266667,188.8888889,156.9444444,236.6,273.7,273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,77.99391112,25.99797037,6,0.425,0.267,0.166,321,271,50,,,,,,,,,,,,
403,R4,upper,elev,amb,1,12.159,0.130,232.9051033,25.367,188.6265138,1.5,299.6333333,22.33688889,18.84088889,191.6666667,175,254.5,295.6666667,299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,78.42674074,26.14224691,6,0.137,0.104,0.13,233,144,89,74.0816,117.9140,2.3607,4.8654,3.5615,0.6137,70.8550,115.8114,2.5174,4.9604,3.7417,0.6641
403,R4,upper,elev,elev,1,17.419,0.131,313.16268576667,25.860,188.6265138,1.5,299.6333333,22.33688889,18.84088889,191.6666667,175,254.5,295.6666667,299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,78.42674074,26.14224691,6,0.453,0.241,0.131333333,313,275,38,74.0816,117.9140,2.3607,4.8654,3.5615,0.6137,70.8550,115.8114,2.5174,4.9604,3.7417,0.6641
408,R4,lower,elev,amb,1,9.979,0.119,240.43445774546,29.046,142.8652935,1.52,236.7,15.79455556,13.08688889,300,184.375,207.4,236.2666667,236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,71.53122222,23.84374074,6,0.245,0.101,0.089,227,194,34,,,,,,,,,,,,
408,R4,upper,elev,amb,1,12.006,0.104,195.90999008571,25.039,181.798581,1.735,347.1666667,22.34644444,13.71255556,200,165.625,307.2333333,343.2666667,347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,100.1552963,33.38509877,7,0.252,0.149,0.104571429,196,148,48,,,,,,,,,,,,
408,R4,upper,elev,elev,1,19.236,0.135,292.60846984286,25.069,181.798581,1.58,347.1666667,22.34644444,13.71255556,200,165.625,307.2333333,343.2666667,347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,100.1552963,33.38509877,7,0.085,0.077,0.134714286,293,66,227,89.3052,133.1702,0.7429,4.8218,3.4563,0.5604,83.7033,134.1445,1.0923,3.3073,2.5841,0.4236
422,R4,lower,elev,amb,1,14.910,0.207,256.11392777143,26.522,176.2990625,1.605,329.575,22.41144444,19.74638889,150,143.75,277.725,319.875,325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,92.34593334,30.78197778,7,0.065,0.059,0.207,256,26,230,,,,,,,,,,,,
422,R4,lower,elev,elev,1,21.852,0.221,359.96401688571,27.323,176.2990625,1.605,329.575,22.41144444,19.74638889,300,184.375,277.725,319.875,325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,92.34593334,30.78197778,7,0.091,0.082,0.220714286,360,120,240,96.2098,147.2565,1.4455,2.8424,2.0975,0.3352,79.1985,130.6636,1.4371,1.6018,1.2737,0.2292
501,R5,lower,elev,amb,1,12.461,0.158,262.74352062857,25.064,161.005108,1.62,343.3,21.00277778,19.09311111,151.5625,142.1875,296.1,336.1666667,343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,91.55254861,30.5175162,7,0.171,0.121,0.157714286,263,190,73,,,,,,,,,,,,
501,R5,lower,elev,elev,1,17.491,0.176,364.33202704286,24.938,161.005108,1.62,343.3,21.00277778,19.09311111,150,143.75,296.1,336.1666667,343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,91.55254861,30.5175162,9,0.291,0.188,0.175333333,365,305,60,62.1397,100.6005,1.4910,6.3472,5.6240,1.0555,60.9661,98.9874,1.2919,5.8871,5.1881,0.9796
501,R5,upper,elev,amb,1,13.380,0.167,248.73935003333,25.922,177.4046346,1.75,375.6333333,25.699,21.62166667,167.1875,160.9375,319.8666667,367.2,375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,87.86889445,29.28963148,6,0.343,0.16,0.167333333,249,210,39,,,,,,,,,,,,
501,R5,upper,elev,elev,1,17.599,0.148,332.54795113333,24.933,177.4046346,1.75,375.6333333,25.699,21.62166667,167.1875,160.9375,319.8666667,367.2,375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,87.86889445,29.28963148,6,0.209,0.153,0.148333333,333,248,84,74.3978,116.9939,1.7015,4.0578,2.9490,0.5120,74.6837,116.8439,1.6963,4.0185,2.9055,0.5047
513,R5,lower,elev,amb,1,14.033,0.227,283.4319909,24.805,170.2635013,1.49,351.1333333,23.277,17.98933334,162.5,110.9375,296.9333333,338.2,351.165,23.277,17.98933333,8,296.9282222,32.97011111,94.18172222,31.39390741,7,0.149,0.115,0.227428571,283,189,94,,,,,,,,,,,,
513,R5,lower,elev,elev,1,18.597,0.222,393.7858177,25.017,170.2635013,1.49,351.1333333,23.277,17.98933334,151.5625,142.1875,296.9333333,338.2,351.165,23.277,17.98933333,8,296.9282222,32.97011111,94.18172222,31.39390741,7,0.27,0.18,0.222285714,394,325,69,63.2910,102.5793,1.9287,4.2149,3.6179,0.6433,63.5382,101.9776,1.8964,4.4816,3.7509,0.6714
513,R5,upper,elev,amb,1,11.863,0.142,246.4836869,26.585,225.9647874,1.61,292.8666667,22.35222222,18.21711111,211.1111111,189.0625,250.3666667,290.9666667,292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,90.95861111,30.31953704,6,0.166,0.106,0.142,246,175,71,,,,,,,,,,,,
513,R5,upper,elev,elev,1,15.270,0.143,356.47854886667,24.983,225.9647874,1.61,292.8666667,22.35222222,18.21711111,211.1111111,189.0625,250.3666667,290.9666667,292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,90.95861111,30.31953704,6,0.34,0.148,0.142833333,356,312,45,57.2267,91.0969,1.5134,7.3076,6.0869,1.0921,57.5089,91.0793,1.5002,7.1686,5.8800,1.0556
523,R5,upper,elev,amb,1,12.678,0.193,274.74692782857,25.053,193.0695337,1.65,353.325,23.560575,20.3368,184.375,153.125,299.8,343.675,363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,94.45625926,31.48541975,7,0.114,0.091,0.193285714,275,163,111,,,,,,,,,,,,
523,R5,upper,elev,elev,1,19.392,0.228,387.18907344286,25.657,193.0695337,1.65,353.325,23.560575,20.3368,184.375,153.125,299.8,343.675,363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,94.45625926,31.48541975,7,0.243,0.172,0.228142857,387,307,80,77.5842,119.4048,2.4118,5.1137,4.5578,0.7805,69.9334,113.1309,2.3988,4.6247,4.3427,0.7840
r3out,R3,lower,amb,amb,1,13.419,0.117,195.33677733333,26.172,205.3365878,1.58,354.05,25.311625,25.931875,125,109.375,289.5,340.75,354.05975,25.311625,25.931875,7.5,289.525625,35.44877778,95.98290356,31.99430119,6,0.191,0.139,0.1175,195,125,70,101.9970,133.3236,2.5706,13.2316,7.7464,1.2999,91.3984,127.6875,2.7625,11.1502,7.2597,1.2764
r3out,R3,lower,amb,elev,1,20.092,0.130,280.87529678333,26.552,205.3365878,1.58,354.05,25.311625,25.931875,162.5,110.9375,289.5,340.75,354.05975,25.311625,25.931875,7.5,289.525625,35.44877778,95.98290356,31.99430119,6,,0.315,0.130333333,281,254,27,,,,,,,,,,,,
r3out,R3,upper,amb,amb,1,11.408,0.099,197.31915415,24.834,207.0077846,1.59,397.3333333,25.98111111,23.19311111,141.6666667,131.9444444,346.2666667,395.4666667,397.3445556,25.98111111,23.19311111,9,346.291,34.03866667,100.3140163,33.43800542,6,0.152,0.112,0.0985,197,122,75,83.3113,118.9009,2.3445,2.2889,1.4136,0.2403,81.7570,119.4113,2.5470,2.1676,1.3815,0.2367
r3out,R3,upper,amb,elev,1,15.771,0.096,265.64777036667,25.275,207.0077846,1.59,397.3333333,25.98111111,23.19311111,141.6666667,131.9444444,346.2666667,395.4666667,397.3445556,25.98111111,23.19311111,9,346.291,34.03866667,100.3140163,33.43800542,6,0.439,0.225,0.096333333,266,230,36,,,,,,,,,,,,
r6out1,R6,lower,amb,amb,2,8.200,0.126,273.59440296071,25.656,188.6072313,1.56,323.85,23.45811111,19.25927778,127.7777778,137.23958335,272.1,314.8333333,323.8402222,23.45811112,19.25927778,7,272.0910556,34.82277778,92.99658889,30.99886296,6.5,0.123,0.0655,0.125607143,274,177,96.5,55.3399,104.4472,2.3178,2.3209,2.2694,0.3930,48.8293,98.0713,2.3456,2.2131,2.2639,0.4182
r6out1,R6,lower,amb,elev,2,12.336,0.129,371.35187277381,26.105,188.6072313,1.56,323.85,23.45811111,19.25927778,127.7777778,119.27083335,272.1,314.8333333,323.8402222,23.45811112,19.25927778,7,272.0910556,34.82277778,92.99658889,30.99886296,6.5,0.117,0.088,0.1294642855,371,263.5,108.5,,,,,,,,,,,,
r6out1,R6,upper,amb,amb,2,13.082,0.176,256.23499717619,26.678,208.9545465,1.56,361.45,22.96116667,20.37083333,173.2638889,165.7986111,313.7666667,357.0833333,361.4374445,22.96116667,20.37083334,8.166666667,313.7581667,32.75388889,90.48690546,30.16230182,6.5,0.086,0.1605,0.175607143,256,195,61.5,75.8275,110.5423,1.3180,10.0846,5.5403,0.9348,63.6818,100.9482,1.3875,8.5663,5.1042,0.9169
r6out1,R6,upper,amb,elev,2,18.131,0.186,367.64278212143,26.813,208.9545465,1.56,361.45,22.96116667,20.37083333,173.2638889,165.7986111,313.7666667,357.0833333,361.4374445,22.96116667,20.37083334,8.166666667,313.7581667,32.75388889,90.48690546,30.16230182,7,0.264,0.179,0.1862142855,368,294.5,73.5,,,,,,,,,,,,
r6out2,R6,lower,amb,amb,2,14.142,0.246,285.89319163452,25.992,160.3845268,1.67,273.02,19.62946666,15.83213333,209.02777775,161.80555555,233.98,269.44,276.8053334,20.11091667,15.816,7.5,236.5662778,27.38233334,73.39181905,24.46393968,6.5,0.1775,0.1255,0.246488095,286,200.5,85.5,63.5470,103.7824,2.7333,4.0488,3.8854,0.6967,62.7206,103.8372,2.7193,3.6725,3.6531,0.6515
r6out2,R6,lower,amb,elev,2,18.571,0.251,407.1413515381,26.806,160.3845268,1.67,273.02,19.62946666,15.83213333,174.30555555,154.60069445,233.98,269.44,276.8053334,20.11091667,15.816,7.5,236.5662778,27.38233334,73.39181905,24.46393968,6.5,0.35,0.248,0.2512857145,407,373,33.5,,,,,,,,,,,,
r6out2,R6,upper,amb,amb,1,11.312,0.149,258.76034035714,26.177,219.2896924,1.81,331.6666667,21.43433334,17.73422222,190.625,134.375,286.9333333,326.1,331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,90.60548148,30.20182716,7,0.102,0.082,0.149,259,148,110,74.9834,116.3461,3.1124,1.1454,0.8612,0.1485,65.3889,106.4988,3.1010,1.3815,1.0887,0.2050
r6out2,R6,upper,amb,elev,1,16.484,0.160,358.79003234286,26.133,219.2896924,1.81,331.6666667,21.43433334,17.73422222,190.625,134.375,286.9333333,326.1,331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,90.60548148,30.20182716,7,0.218,0.153,0.160428571,359,283,76,,,,,,,,,,,,
